cliente,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
JÚLIO LIMA,patê,macarrão,leite,detergente,maçã,suco,,,,,,,,,,,,
VANESSA LIMA,granola,amendoim,,,,,,,,,,,,,,,,
VICTOR BANDEIRA,pão,manteiga,,,,,,,,,,,,,,,,
VICTOR SANTOS,iogurte,suco de laranja,bolo,açúcar,óleo de soja,linguiça,,,,,,,,,,,,
WEMERSON SILVA,farinha de mandioca,batata,geleia,macarrão,detergente,azeite,refrigerante,,,,,,,,,,,
LUIZ COSTA,kiwi,patê,molho de tomate,mostarda,vinho,,,,,,,,,,,,,
LUIZ SILVA,maçã,salsicha,sorvete,detergente,kiwi,uva,barra de cereal,amendoim,vinho tinto,,,,,,,,,
SÁVIO RODRIGUES,feijão,presunto,batata frita,sorvete,carne moída,maionese,peito de peru,amendoim,,,,,,,,,,
FILIPE LIMA,salada,alface,tomate,cenoura,azeite,vinagre,sopa pronta,espumante,azeitona,sopa pronta,chá,queijo,picanha,tempero pronto,,,,
MAYCON MASSI,nutella,água tônica,verduras,cebola,,,,,,,,,,,,,,
DAVI RODRIGUES,gelatina,barra de cereal,,,,,,,,,,,,,,,,
SERGIO DEMARQUE,ervilha,pão,,,,,,,,,,,,,,,,
OTÁVIO SOARES,mostarda,salada,alface,,,,,,,,,,,,,,,
JOÃO OLIVEIRA,presunto,morango,molho pesto,alface,papel higiênico,cogumelo,,,,,,,,,,,,
DANIEL CRUZ,presunto,limão,,,,,,,,,,,,,,,,
ALYSON LIMA,cereal,óleo de soja,alho,desinfetante,banana,alface,carne moída,manteiga,laranja,,,,,,,,,
PEDRO DEMARQUE,vinho,queijo,presunto,pão,,,,,,,,,,,,,,
GABRIEL SILVA,óleo de soja,hambúrguer,mostarda,sorvete,,,,,,,,,,,,,,
JOÃO OLIVEIRA,pizza,cerveja artesanal,,,,,,,,,,,,,,,,
DAVI SILVA,água tônica,pizza,refrigerante,vinagre,,,,,,,,,,,,,,
LUIZ DEMARQUE,bisnaguinha,espumante,farinha de mandioca,óleo de soja,vinho,,,,,,,,,,,,,
MAYCON RODRIGUES,limão,arroz,feijão,salada,,,,,,,,,,,,,,
SERGIO SANTOS,maionese,maionese,arroz,feijão,frango,cereal,,,,,,,,,,,,
WEMERSON SANTOS,pizza,cerveja artesanal,,,,,,,,,,,,,,,,
GABRIEL SILVA,queijo,hambúrguer,,,,,,,,,,,,,,,,
DAVI LIMA,chocolate,sorvete,azeitona,nutella,castanhas,granola,,,,,,,,,,,,
PEDRO CRUZ,picanha,farinha de mandioca,suco,frutas,sabão,,,,,,,,,,,,,
DANIEL SILVA,laranja,óleo de soja,queijo,vinho tinto,presunto,,,,,,,,,,,,,
JÚLIO NETO,suco,água tônica,uva,massa de pizza,sardinha enlatada,uva,presunto,achocolatado,,,,,,,,,,
LUIZ LIMA,vinho tinto,queijo,,,,,,,,,,,,,,,,
DAVI MASSI,chá,manteiga,,,,,,,,,,,,,,,,
SERGIO MASSI,carne moída,macarrão,presunto,frango,feijão,salada,mostarda,batata,macarrão,,,,,,,,,
LUIZ CRUZ,carne moída,manteiga,,,,,,,,,,,,,,,,
GABRIEL CRUZ,uva,espumante,,,,,,,,,,,,,,,,
MAYCON SANTOS,banana,suco de laranja,pão,bolo,cereal,frutas,palmito,,,,,,,,,,,
FILIPE RODRIGUES,ervilha,bisnaguinha,chá,molho de tomate,vinagre,,,,,,,,,,,,,
LUIZ SANTOS,granola,palmito,hambúrguer,cerveja,catchup,,,,,,,,,,,,,
SERGIO SOARES,nhoque,granola,nhoque,bolo,,,,,,,,,,,,,,
GABRIEL SILVA,cebola,pão,queijo,presunto,geleia,,,,,,,,,,,,,
PEDRO COSTA,catchup,manga,batata frita,água tônica,,,,,,,,,,,,,,
GUSTAVO BANDEIRA,farinha de trigo,desinfetante,farinha de mandioca,cogumelo,nutella,água tônica,iogurte,vinho tinto,queijo,,,,,,,,,
PEDRO SOARES,chocolate,sorvete,leite,,,,,,,,,,,,,,,
OTÁVIO CRUZ,energético,nutella,bolo,patê,,,,,,,,,,,,,,
DANIEL CRUZ,maçã,biscoito,chá,farinha de mandioca,salsicha,desinfetante,mel,peito de peru,achocolatado,energético,frutas,,,,,,,
DANIEL OLIVEIRA,hambúrguer,batata frita,cerveja,catchup,mostarda,,,,,,,,,,,,,
DANIEL NETO,suco,café,açúcar,bolo,mel,óleo de soja,cebola,kiwi,batata,suco de laranja,manteiga,atum enlatado,,,,,,
MAYCON NÁPOLES,milho verde,sabão,bolo,carvão,,,,,,,,,,,,,,
ALYSON MASSI,carvão,picanha,vinho branco,queijo,presunto,pão,frango,arroz,salada,,,,,,,,,
DAVI DEMARQUE,queijo ralado,água tônica,,,,,,,,,,,,,,,,
GABRIEL LIMA,abacaxi,hambúrguer,batata frita,cerveja,catchup,,,,,,,,,,,,,
MAYCON SOARES,frango,feijão,,,,,,,,,,,,,,,,
WEMERSON NETO,azeite,uva,uva,pudim,frango,arroz,feijão,,,,,,,,,,,
PEDRO RODRIGUES,barra de cereal,peixe,,,,,,,,,,,,,,,,
OTÁVIO CRUZ,lasanha,castanhas,farinha de trigo,chocolate,sorvete,,,,,,,,,,,,,
JÚLIO CRUZ,ervilha,café,açúcar,bolo,,,,,,,,,,,,,,
DANIEL LIMA,sabão,cogumelo,,,,,,,,,,,,,,,,
SERGIO SOARES,barra de cereal,água tônica,,,,,,,,,,,,,,,,
DANIEL SANTOS,peixe,pizza,refrigerante,,,,,,,,,,,,,,,
SÁVIO NÁPOLES,molho de tomate,azeite,geleia,óleo de soja,lasanha,carvão,picanha,salsicha,vodka,alho,leite,,,,,,,
GUSTAVO RODRIGUES,sorvete,cerveja,picanha,,,,,,,,,,,,,,,
MAYCON COSTA,energético,farinha de mandioca,iogurte,filé de frango,arroz,feijão,salada,maionese,,,,,,,,,,
VANESSA SANTOS,vinagre,filé de frango,arroz,feijão,,,,,,,,,,,,,,
GUSTAVO SILVA,carne moída,frango,arroz,feijão,tomate,sorvete,cebola,massa de pizza,,,,,,,,,,
GABRIEL NÁPOLES,suco,massa de pizza,,,,,,,,,,,,,,,,
VICTOR SILVA,molho pesto,farinha de mandioca,maionese,,,,,,,,,,,,,,,
JÚLIO COSTA,palmito,batata,alho,nutella,frutas,limão,patê,molho pesto,,,,,,,,,,
OTÁVIO SILVA,massa de pizza,geleia,óleo de soja,vinho,,,,,,,,,,,,,,
GABRIEL NÁPOLES,castanhas,vinho branco,queijo,arroz,,,,,,,,,,,,,,
JÚLIO SOARES,desinfetante,vinho,queijo,,,,,,,,,,,,,,,
LUIZ BANDEIRA,vinagre,sabão,leite,manga,milho verde,manteiga,whisky,carne moída,bisnaguinha,,,,,,,,,
WEMERSON NETO,mostarda,catchup,iogurte,torrada,nhoque,chocolate,,,,,,,,,,,,
ALYSON CARDOSO,cebola,vinho,queijo,presunto,mel,,,,,,,,,,,,,
DANIEL BANDEIRA,palmito,papel higiênico,catchup,vinho branco,presunto,pão,cenoura,,,,,,,,,,,
MAYCON CARDOSO,frutas,vinho branco,queijo,presunto,pão,batata frita,banana,,,,,,,,,,,
VANESSA BANDEIRA,manteiga,cereal,sorvete,azeitona,frutas,,,,,,,,,,,,,
DANIEL OLIVEIRA,farinha de mandioca,batata,whisky,presunto,palmito,vinho branco,queijo,farinha de mandioca,suco,carvão,,,,,,,,
MAYCON OLIVEIRA,palmito,chocolate,sorvete,bisnaguinha,,,,,,,,,,,,,,
DAVI COSTA,peito de peru,laranja,maionese,cogumelo,pizza,,,,,,,,,,,,,
SERGIO SOARES,peito de peru,limão,,,,,,,,,,,,,,,,
JOÃO SILVA,água tônica,banana,carne moída,iogurte,azeite,,,,,,,,,,,,,
SÁVIO CRUZ,banana,peito de peru,refrigerante,refrigerante,cerveja,picanha,carvão,salsicha,picanha,energético,,,,,,,,
GABRIEL CARDOSO,batata,cerveja,,,,,,,,,,,,,,,,
DANIEL OLIVEIRA,papel higiênico,presunto,,,,,,,,,,,,,,,,
DANIEL CRUZ,vinho,presunto,pão,presunto,alface,bolo,vinagre,macarrão,,,,,,,,,,
SERGIO MASSI,manga,açúcar,barra de cereal,lasanha,,,,,,,,,,,,,,
DANIEL BANDEIRA,alface,presunto,óleo de soja,sopa pronta,salada,,,,,,,,,,,,,
ALYSON RODRIGUES,ervilha,molho de tomate,bisnaguinha,vinho tinto,,,,,,,,,,,,,,
LUIZ CRUZ,cebola,vinho,queijo,presunto,pão,,,,,,,,,,,,,
MAYCON COSTA,desinfetante,batata frita,tomate,nutella,maionese,queijo ralado,uva,,,,,,,,,,,
GUSTAVO SILVA,pizza,refrigerante,,,,,,,,,,,,,,,,
VANESSA COSTA,presunto,cerveja,,,,,,,,,,,,,,,,
MAYCON CARDOSO,sardinha enlatada,bolo,feijão,ervilha,detergente,,,,,,,,,,,,,
FILIPE CRUZ,azeitona,vinho tinto,,,,,,,,,,,,,,,,
GUSTAVO NÁPOLES,refrigerante,ervilha,,,,,,,,,,,,,,,,
GABRIEL SILVA,catchup,vodka,granola,mostarda,verduras,abacaxi,pudim,nutella,manga,vinagre,mostarda,,,,,,,
MAYCON LIMA,detergente,feijão,biscoito,ervilha,vinagre,água tônica,cenoura,,,,,,,,,,,
JÚLIO LIMA,cerveja artesanal,catchup,biscoito,maionese,,,,,,,,,,,,,,
PEDRO COSTA,macarrão,uva,kiwi,molho pesto,banana,catchup,vodka,açúcar,água tônica,,,,,,,,,
MAYCON OLIVEIRA,barra de cereal,abacaxi,,,,,,,,,,,,,,,,
WEMERSON CARDOSO,cogumelo,salada,tomate,,,,,,,,,,,,,,,
FILIPE CARDOSO,maçã,farinha de mandioca,iogurte,morango,sopa pronta,pepino,limão,,,,,,,,,,,
GUSTAVO OLIVEIRA,cogumelo,azeite,iogurte,frutas,macarrão,detergente,bisnaguinha,espumante,,,,,,,,,,
SÁVIO BANDEIRA,sorvete,cebola,molho de tomate,bisnaguinha,torrada,achocolatado,,,,,,,,,,,,
JOÃO MASSI,molho de tomate,arroz,,,,,,,,,,,,,,,,
GABRIEL CARDOSO,açúcar,vinho tinto,,,,,,,,,,,,,,,,
JOÃO DEMARQUE,azeite,açúcar,sabão,alho,cerveja,salsicha,,,,,,,,,,,,
JOÃO LIMA,manga,peixe,barra de cereal,,,,,,,,,,,,,,,
MAYCON OLIVEIRA,açúcar,morango,salada,tomate,cenoura,azeite,vinagre,whisky,queijo,linguiça,lasanha,milho verde,torrada,,,,,
OTÁVIO MASSI,palmito,ervilha,limão,sorvete,cebola,pão,manteiga,presunto,,,,,,,,,,
JOÃO DEMARQUE,chocolate,sorvete,leite,nutella,linguiça,vinho branco,,,,,,,,,,,,
GUSTAVO BANDEIRA,café,açúcar,,,,,,,,,,,,,,,,
FILIPE SILVA,queijo ralado,carvão,picanha,cerveja,,,,,,,,,,,,,,
PEDRO SANTOS,macarrão,palmito,hambúrguer,batata frita,catchup,,,,,,,,,,,,,
JOÃO SANTOS,açúcar,sabão,energético,maçã,filé de frango,feijão,farinha de mandioca,azeite,,,,,,,,,,
VICTOR NETO,cebola,frango,arroz,feijão,salada,desinfetante,manteiga,frutas,,,,,,,,,,
VANESSA MASSI,vinagre,castanhas,geleia,bolo,alface,cenoura,arroz,feijão,,,,,,,,,,
VICTOR OLIVEIRA,detergente,alho,,,,,,,,,,,,,,,,
MAYCON SILVA,morango,farinha de trigo,sorvete,pizza,refrigerante,milho verde,azeitona,leite,pudim,,,,,,,,,
PEDRO CARDOSO,abacaxi,hambúrguer,,,,,,,,,,,,,,,,
GUSTAVO NÁPOLES,peito de peru,macarrão,carne moída,,,,,,,,,,,,,,,
LUIZ RODRIGUES,azeite,castanhas,energético,whisky,filé de frango,feijão,,,,,,,,,,,,
LUIZ NÁPOLES,frango,feijão,salada,vinagre,,,,,,,,,,,,,,
WEMERSON RODRIGUES,azeite,manteiga,,,,,,,,,,,,,,,,
SÁVIO CRUZ,carvão,picanha,,,,,,,,,,,,,,,,
DAVI OLIVEIRA,molho de tomate,mel,,,,,,,,,,,,,,,,
VICTOR CARDOSO,batata,bolo,pão,manteiga,queijo,sabão,,,,,,,,,,,,
GABRIEL CARDOSO,feijão,limão,sal,vinagre,carne moída,leite,papel higiênico,sal,granola,,,,,,,,,
LUIZ CRUZ,patê,nutella,carvão,picanha,,,,,,,,,,,,,,
SERGIO RODRIGUES,farinha de trigo,tomate,filé de frango,,,,,,,,,,,,,,,
DAVI NÁPOLES,alho,presunto,,,,,,,,,,,,,,,,
FILIPE CRUZ,achocolatado,cerveja artesanal,pizza,refrigerante,barra de cereal,atum enlatado,cerveja artesanal,batata frita,,,,,,,,,,
JOÃO DEMARQUE,açúcar,molho pesto,detergente,azeite,farinha de trigo,bisnaguinha,amendoim,carvão,picanha,salsicha,vodka,pizza,,,,,,
OTÁVIO CARDOSO,macarrão,farinha de trigo,,,,,,,,,,,,,,,,
SERGIO SILVA,verduras,geleia,,,,,,,,,,,,,,,,
LUIZ LIMA,açúcar,pão,,,,,,,,,,,,,,,,
JÚLIO DEMARQUE,cebola,macarrão,massa de pizza,,,,,,,,,,,,,,,
PEDRO CRUZ,uva,atum enlatado,milho verde,tomate,pizza,,,,,,,,,,,,,
PEDRO DEMARQUE,milho verde,palmito,pão,queijo,presunto,macarrão,vinho,maçã,batata frita,uva,,,,,,,,
DANIEL NÁPOLES,castanhas,farinha de trigo,energético,alho,limão,vinho tinto,queijo,presunto,,,,,,,,,,
MAYCON SILVA,manteiga,chocolate,leite,achocolatado,maçã,arroz,,,,,,,,,,,,
DAVI CRUZ,atum enlatado,palmito,,,,,,,,,,,,,,,,
GUSTAVO BANDEIRA,laranja,pimenta,,,,,,,,,,,,,,,,
ALYSON LIMA,bisnaguinha,iogurte,,,,,,,,,,,,,,,,
GABRIEL SANTOS,vinho,presunto,cenoura,vinho branco,queijo,pão,leite,vinagre,atum enlatado,água tônica,,,,,,,,
SÁVIO OLIVEIRA,arroz,feijão,salada,sardinha enlatada,,,,,,,,,,,,,,
VICTOR SANTOS,atum enlatado,manteiga,granola,,,,,,,,,,,,,,,
JÚLIO CRUZ,castanhas,molho de tomate,salada,cenoura,,,,,,,,,,,,,,
SÁVIO CRUZ,espumante,sal,azeite,gelatina,espumante,banana,catchup,,,,,,,,,,,
JÚLIO SILVA,salada,alface,,,,,,,,,,,,,,,,
OTÁVIO OLIVEIRA,leite,peixe,biscoito,peixe,milho verde,verduras,verduras,castanhas,atum enlatado,,,,,,,,,
GUSTAVO SILVA,molho branco,molho pesto,whisky,molho pesto,peito de peru,,,,,,,,,,,,,
GUSTAVO DEMARQUE,pepino,barra de cereal,vinho branco,queijo,,,,,,,,,,,,,,
JOÃO COSTA,mel,cenoura,molho de tomate,nhoque,picanha,farinha de trigo,,,,,,,,,,,,
PEDRO MASSI,maionese,suco de laranja,pão,manteiga,bolo,,,,,,,,,,,,,
LUIZ RODRIGUES,limão,vinagre,patê,,,,,,,,,,,,,,,
MAYCON COSTA,mel,alho,nutella,alho,,,,,,,,,,,,,,
GABRIEL SANTOS,queijo,catchup,,,,,,,,,,,,,,,,
PEDRO SOARES,macarrão,cebola,vinho tinto,queijo,presunto,pão,chá,,,,,,,,,,,
OTÁVIO SILVA,gelatina,linguiça,farinha de mandioca,,,,,,,,,,,,,,,
JÚLIO NETO,alho,filé de frango,,,,,,,,,,,,,,,,
JOÃO OLIVEIRA,catchup,maçã,detergente,achocolatado,mostarda,,,,,,,,,,,,,
SÁVIO NETO,bisnaguinha,sorvete,sal,cerveja artesanal,tomate,lasanha,cenoura,desinfetante,catchup,,,,,,,,,
GUSTAVO CARDOSO,verduras,energético,uva,barra de cereal,,,,,,,,,,,,,,
WEMERSON NETO,gelatina,limão,,,,,,,,,,,,,,,,
FILIPE SOARES,gelatina,cerveja artesanal,batata,maionese,castanhas,morango,,,,,,,,,,,,
OTÁVIO OLIVEIRA,pão,queijo,presunto,óleo de soja,salsicha,café,açúcar,leite,granola,sorvete,molho branco,,,,,,,
SÁVIO CARDOSO,óleo de soja,achocolatado,,,,,,,,,,,,,,,,
VICTOR OLIVEIRA,sabão,carne moída,cerveja artesanal,chá,milho verde,milho verde,,,,,,,,,,,,
MAYCON NETO,achocolatado,água tônica,pão,manteiga,queijo,,,,,,,,,,,,,
ALYSON RODRIGUES,pimenta,nutella,alface,granola,chocolate,sorvete,leite,alho,ervilha,,,,,,,,,
ALYSON BANDEIRA,sal,sal,chocolate,sorvete,leite,iogurte,gelatina,barra de cereal,,,,,,,,,,
VICTOR SANTOS,cerveja,picanha,carvão,salsicha,,,,,,,,,,,,,,
LUIZ SOARES,sabão,sal,,,,,,,,,,,,,,,,
GUSTAVO OLIVEIRA,uva,bolo,filé de frango,arroz,feijão,barra de cereal,atum enlatado,,,,,,,,,,,
SERGIO NETO,salada,cenoura,,,,,,,,,,,,,,,,
OTÁVIO CRUZ,molho branco,desinfetante,,,,,,,,,,,,,,,,
PEDRO SOARES,geleia,batata frita,sal,chocolate,leite,molho branco,ervilha,desinfetante,cogumelo,,,,,,,,,
PEDRO COSTA,frutas,vinho tinto,,,,,,,,,,,,,,,,
OTÁVIO SANTOS,mostarda,molho de tomate,arroz,feijão,frango,salada,pimenta,pimenta,energético,,,,,,,,,
SERGIO SOARES,café,açúcar,leite,chá,carvão,cerveja,,,,,,,,,,,,
GUSTAVO OLIVEIRA,uva,leite,papel higiênico,filé de frango,arroz,salada,,,,,,,,,,,,
GABRIEL SANTOS,lasanha,whisky,cogumelo,vinho,queijo,frutas,,,,,,,,,,,,
FILIPE SILVA,pão,queijo,,,,,,,,,,,,,,,,
DAVI SOARES,sopa pronta,manteiga,,,,,,,,,,,,,,,,
MAYCON CRUZ,mostarda,nutella,água de coco,tempero pronto,achocolatado,,,,,,,,,,,,,
SÁVIO COSTA,pepino,atum enlatado,espumante,queijo ralado,queijo ralado,água de coco,,,,,,,,,,,,
PEDRO DEMARQUE,alface,linguiça,peito de peru,queijo ralado,frutas,,,,,,,,,,,,,
JOÃO NÁPOLES,peixe,pão,,,,,,,,,,,,,,,,
VANESSA COSTA,molho pesto,chá,vodka,carne moída,manga,,,,,,,,,,,,,
GUSTAVO COSTA,alface,tomate,picanha,feijão,,,,,,,,,,,,,,
GUSTAVO BANDEIRA,maionese,nhoque,,,,,,,,,,,,,,,,
FILIPE SOARES,nhoque,ervilha,sal,vodka,torrada,atum enlatado,pão,manteiga,,,,,,,,,,
ALYSON SILVA,pepino,molho branco,,,,,,,,,,,,,,,,
DANIEL COSTA,açúcar,sabão,refrigerante,manga,cerveja,picanha,salsicha,,,,,,,,,,,
SERGIO CARDOSO,frango,arroz,feijão,salada,energético,café,,,,,,,,,,,,
VICTOR RODRIGUES,vinho,pão,pepino,atum enlatado,pudim,vinho branco,queijo,leite,,,,,,,,,,
GABRIEL NÁPOLES,whisky,castanhas,,,,,,,,,,,,,,,,
GABRIEL CARDOSO,sopa pronta,molho pesto,desinfetante,linguiça,amendoim,,,,,,,,,,,,,
VICTOR LIMA,sardinha enlatada,biscoito,óleo de soja,filé de frango,salada,cerveja artesanal,tempero pronto,detergente,nhoque,carvão,picanha,cerveja,,,,,,
LUIZ LIMA,sal,pão,manteiga,queijo,presunto,geleia,palmito,,,,,,,,,,,
FILIPE NÁPOLES,bisnaguinha,cereal,espumante,peito de peru,atum enlatado,,,,,,,,,,,,,
SERGIO SOARES,azeitona,farinha de mandioca,arroz,feijão,frango,sabão,,,,,,,,,,,,
DAVI SILVA,carne moída,morango,verduras,cenoura,cenoura,,,,,,,,,,,,,
GABRIEL COSTA,chá,sorvete,amendoim,sabão,pimenta,laranja,castanhas,pão,presunto,geleia,biscoito,linguiça,,,,,,
JOÃO NÁPOLES,queijo ralado,vinho tinto,queijo,pão,catchup,whisky,papel higiênico,macarrão,,,,,,,,,,
ALYSON CARDOSO,salsicha,catchup,lasanha,patê,,,,,,,,,,,,,,
PEDRO SOARES,açúcar,pepino,papel higiênico,energético,alho,,,,,,,,,,,,,
VANESSA BANDEIRA,frango,arroz,feijão,,,,,,,,,,,,,,,
DAVI BANDEIRA,chocolate,sorvete,leite,pepino,água tônica,suco de laranja,pão,manteiga,bolo,,,,,,,,,
VICTOR RODRIGUES,detergente,queijo ralado,,,,,,,,,,,,,,,,
DANIEL SOARES,detergente,suco,,,,,,,,,,,,,,,,
ALYSON OLIVEIRA,palmito,sopa pronta,uva,sorvete,abacaxi,gelatina,ervilha,pimenta,maçã,farinha de trigo,,,,,,,,
SÁVIO OLIVEIRA,batata frita,nhoque,cerveja artesanal,salsicha,ervilha,chocolate,sorvete,leite,limão,feijão,linguiça,uva,,,,,,
DANIEL SILVA,cogumelo,cogumelo,cerveja,picanha,carvão,salsicha,,,,,,,,,,,,
ALYSON NETO,atum enlatado,hambúrguer,presunto,alface,feijão,,,,,,,,,,,,,
FILIPE LIMA,detergente,sopa pronta,molho pesto,vinho branco,queijo,presunto,pão,,,,,,,,,,,
MAYCON CRUZ,frutas,iogurte,,,,,,,,,,,,,,,,
SÁVIO SANTOS,sardinha enlatada,morango,linguiça,queijo ralado,alface,,,,,,,,,,,,,
GUSTAVO MASSI,molho branco,molho de tomate,palmito,frutas,espumante,,,,,,,,,,,,,
LUIZ SOARES,queijo,pão,manteiga,água de coco,vinho branco,presunto,água de coco,,,,,,,,,,,
PEDRO SILVA,carne moída,geleia,,,,,,,,,,,,,,,,
FILIPE RODRIGUES,morango,pimenta,chocolate,,,,,,,,,,,,,,,
SÁVIO DEMARQUE,alho,desinfetante,feijão,energético,pimenta,mel,queijo,,,,,,,,,,,
WEMERSON NETO,laranja,granola,,,,,,,,,,,,,,,,
OTÁVIO BANDEIRA,sal,suco,,,,,,,,,,,,,,,,
JÚLIO SOARES,uva,cereal,salada,alface,tomate,cenoura,azeite,vinagre,picanha,salada,iogurte,nhoque,,,,,,
GUSTAVO SOARES,detergente,catchup,banana,batata frita,cebola,,,,,,,,,,,,,
LUIZ CRUZ,maionese,biscoito,,,,,,,,,,,,,,,,
OTÁVIO SANTOS,molho pesto,nutella,,,,,,,,,,,,,,,,
GUSTAVO SILVA,manga,verduras,presunto,carvão,picanha,cerveja,salsicha,,,,,,,,,,,
LUIZ COSTA,vinho tinto,queijo,presunto,torrada,maionese,nhoque,atum enlatado,,,,,,,,,,,
OTÁVIO NÁPOLES,cogumelo,cenoura,batata frita,,,,,,,,,,,,,,,
DANIEL SANTOS,sardinha enlatada,maionese,,,,,,,,,,,,,,,,
VANESSA SILVA,morango,molho de tomate,açúcar,laranja,,,,,,,,,,,,,,
FILIPE CARDOSO,queijo,batata,,,,,,,,,,,,,,,,
JÚLIO COSTA,água tônica,salada,,,,,,,,,,,,,,,,
WEMERSON SANTOS,geleia,chocolate,sorvete,leite,,,,,,,,,,,,,,
JOÃO LIMA,alho,linguiça,,,,,,,,,,,,,,,,
JÚLIO BANDEIRA,espumante,desinfetante,ervilha,frutas,leite,,,,,,,,,,,,,
DANIEL SILVA,filé de frango,arroz,feijão,salada,barra de cereal,farinha de mandioca,nutella,,,,,,,,,,,
GABRIEL CARDOSO,verduras,vodka,,,,,,,,,,,,,,,,
MAYCON DEMARQUE,granola,vinho branco,,,,,,,,,,,,,,,,
PEDRO BANDEIRA,óleo de soja,nhoque,suco,queijo ralado,cenoura,molho de tomate,chocolate,leite,amendoim,gelatina,,,,,,,,
VICTOR LIMA,energético,vodka,,,,,,,,,,,,,,,,
JOÃO CRUZ,feijão,frango,,,,,,,,,,,,,,,,
GABRIEL SILVA,desinfetante,filé de frango,arroz,feijão,salada,,,,,,,,,,,,,
SÁVIO SILVA,patê,cerveja,salsicha,chá,manteiga,alho,verduras,,,,,,,,,,,
DAVI NETO,limão,macarrão,amendoim,café,,,,,,,,,,,,,,
ALYSON NÁPOLES,detergente,pizza,refrigerante,cerveja artesanal,óleo de soja,cereal,,,,,,,,,,,,
LUIZ BANDEIRA,vinho tinto,queijo,presunto,,,,,,,,,,,,,,,
WEMERSON SANTOS,catchup,verduras,,,,,,,,,,,,,,,,
GABRIEL CARDOSO,salsicha,vinho tinto,queijo,pão,vodka,salada,alface,tomate,vinagre,,,,,,,,,
GABRIEL NETO,massa de pizza,presunto,kiwi,chá,chocolate,sorvete,leite,pimenta,catchup,uva,farinha de mandioca,barra de cereal,verduras,,,,,
JÚLIO CRUZ,ervilha,atum enlatado,pimenta,cebola,arroz,feijão,frango,salada,frango,frutas,,,,,,,,
MAYCON OLIVEIRA,chá,presunto,cereal,chocolate,sorvete,,,,,,,,,,,,,
GABRIEL DEMARQUE,molho pesto,cebola,feijão,suco de laranja,pão,manteiga,bolo,vinho tinto,queijo,presunto,cerveja,,,,,,,
GABRIEL BANDEIRA,morango,morango,cerveja artesanal,papel higiênico,energético,lasanha,,,,,,,,,,,,
SERGIO DEMARQUE,pão,manteiga,geleia,,,,,,,,,,,,,,,
OTÁVIO COSTA,mostarda,sabão,peixe,arroz,feijão,salada,,,,,,,,,,,,
ALYSON SANTOS,hambúrguer,cerveja,catchup,mostarda,,,,,,,,,,,,,,
WEMERSON DEMARQUE,pizza,refrigerante,,,,,,,,,,,,,,,,
MAYCON SANTOS,vodka,cebola,,,,,,,,,,,,,,,,
GABRIEL NÁPOLES,tempero pronto,hambúrguer,cerveja,catchup,mostarda,alface,vinho tinto,,,,,,,,,,,
GABRIEL CARDOSO,feijão,torrada,,,,,,,,,,,,,,,,
DAVI BANDEIRA,linguiça,vinagre,milho verde,alho,pimenta,sal,vodka,,,,,,,,,,,
FILIPE RODRIGUES,bisnaguinha,sal,,,,,,,,,,,,,,,,
VANESSA DEMARQUE,palmito,cebola,,,,,,,,,,,,,,,,
GABRIEL DEMARQUE,salada,alface,,,,,,,,,,,,,,,,
VICTOR SANTOS,cogumelo,batata,desinfetante,arroz,feijão,salada,carne moída,batata frita,manga,vinho tinto,queijo,,,,,,,
DAVI COSTA,amendoim,energético,morango,cogumelo,,,,,,,,,,,,,,
GUSTAVO OLIVEIRA,hambúrguer,mostarda,suco de laranja,pão,manteiga,,,,,,,,,,,,,
VICTOR DEMARQUE,detergente,peixe,frango,feijão,salada,queijo ralado,frutas,batata frita,mel,,,,,,,,,
GABRIEL OLIVEIRA,carne moída,biscoito,whisky,cerveja artesanal,batata,peito de peru,farinha de trigo,vinho,,,,,,,,,,
WEMERSON BANDEIRA,café,açúcar,,,,,,,,,,,,,,,,
PEDRO SANTOS,manteiga,abacaxi,sal,pizza,refrigerante,cerveja artesanal,mostarda,farinha de mandioca,,,,,,,,,,
PEDRO BANDEIRA,desinfetante,pizza,refrigerante,ervilha,verduras,,,,,,,,,,,,,
MAYCON SILVA,alho,pimenta,sardinha enlatada,,,,,,,,,,,,,,,
PEDRO SILVA,detergente,feijão,desinfetante,molho branco,óleo de soja,,,,,,,,,,,,,
DAVI BANDEIRA,macarrão,vinho,queijo,presunto,azeite,gelatina,presunto,laranja,bisnaguinha,,,,,,,,,
ALYSON SANTOS,granola,hambúrguer,,,,,,,,,,,,,,,,
GABRIEL NETO,iogurte,sabão,vinagre,geleia,whisky,batata frita,,,,,,,,,,,,
ALYSON BANDEIRA,vinagre,pão,manteiga,queijo,,,,,,,,,,,,,,
DANIEL COSTA,abacaxi,vinagre,,,,,,,,,,,,,,,,
ALYSON NETO,frutas,abacaxi,,,,,,,,,,,,,,,,
MAYCON LIMA,desinfetante,detergente,filé de frango,feijão,kiwi,,,,,,,,,,,,,
JÚLIO SILVA,molho de tomate,farinha de trigo,milho verde,pimenta,farinha de mandioca,molho branco,salsicha,papel higiênico,vinagre,,,,,,,,,
JÚLIO LIMA,maçã,bisnaguinha,iogurte,hambúrguer,cerveja,catchup,mostarda,achocolatado,,,,,,,,,,
SÁVIO OLIVEIRA,queijo,presunto,sorvete,desinfetante,água tônica,molho pesto,sal,,,,,,,,,,,
